2025-07-22 19:17:54,420 | BTC/USDT | Price=118549.39 | RSI=38.25 | EMA=118307.02 | ATR=17992.79 | Bid=0.42 Ask=0.24 | Conf=4 | Signal=📈 СИГНАЛ: ПОКУПАТЬ
2025-07-22 19:18:54,435 | BTC/USDT | Price=118594.70 | RSI=41.54 | EMA=118311.34 | ATR=17992.79 | Bid=0.20 Ask=0.24 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:18:56,510 | BTC/USDT | Price=118594.70 | RSI=41.54 | EMA=118311.34 | ATR=17992.79 | Bid=0.20 Ask=0.24 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:19:53,468 | BTC/USDT | Price=118598.64 | RSI=41.94 | EMA=118311.71 | ATR=17992.79 | Bid=0.16 Ask=0.21 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:19:55,583 | BTC/USDT | Price=118598.64 | RSI=41.94 | EMA=118311.71 | ATR=17992.79 | Bid=0.16 Ask=0.14 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:20:52,962 | BTC/USDT | Price=118632.29 | RSI=45.88 | EMA=118314.92 | ATR=17992.79 | Bid=0.54 Ask=0.14 | Conf=3 | Signal=❕ Нет условий для входа
2025-07-22 19:20:54,083 | BTC/USDT | Price=118632.29 | RSI=45.88 | EMA=118314.92 | ATR=17992.79 | Bid=0.54 Ask=0.14 | Conf=3 | Signal=❕ Нет условий для входа
2025-07-22 19:21:53,942 | BTC/USDT | Price=118662.40 | RSI=49.72 | EMA=118317.78 | ATR=17992.79 | Bid=0.20 Ask=0.20 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:21:56,493 | BTC/USDT | Price=118662.40 | RSI=49.72 | EMA=118317.78 | ATR=17992.79 | Bid=0.20 Ask=0.20 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:22:53,456 | BTC/USDT | Price=118649.60 | RSI=48.30 | EMA=118316.56 | ATR=17992.79 | Bid=0.23 Ask=0.50 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:22:55,039 | BTC/USDT | Price=118649.60 | RSI=48.30 | EMA=118316.56 | ATR=17992.79 | Bid=0.23 Ask=0.23 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 19:23:54,142 | BTC/USDT | Price=118698.40 | RSI=53.95 | EMA=118321.21 | ATR=17992.79 | Bid=0.56 Ask=0.23 | Conf=3 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 19:24:53,456 | BTC/USDT | Price=118731.39 | RSI=57.14 | EMA=118324.35 | ATR=17992.79 | Bid=0.21 Ask=0.21 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 19:25:53,457 | BTC/USDT | Price=118721.88 | RSI=56.22 | EMA=118323.45 | ATR=17992.79 | Bid=0.23 Ask=0.23 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:03:35,252 | BTC/USDT | Price=119340.35 | RSI=55.86 | EMA=118645.03 | ATR=19082.51 | Bid=0.40 Ask=0.35 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:04:35,192 | BTC/USDT | Price=119325.87 | RSI=54.04 | EMA=118643.65 | ATR=19084.31 | Bid=0.22 Ask=0.31 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:05:35,191 | BTC/USDT | Price=119348.14 | RSI=56.98 | EMA=118651.93 | ATR=19093.37 | Bid=0.49 Ask=0.62 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:06:35,692 | BTC/USDT | Price=119589.98 | RSI=74.29 | EMA=118668.80 | ATR=19101.02 | Bid=0.97 Ask=0.33 | Conf=3 | Signal=📉 СИГНАЛ: ПРОДАВАТЬ
2025-07-22 22:07:36,176 | BTC/USDT | Price=119631.43 | RSI=67.47 | EMA=118672.75 | ATR=19109.67 | Bid=0.21 Ask=0.09 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:08:36,044 | BTC/USDT | Price=119627.38 | RSI=67.46 | EMA=118672.37 | ATR=19109.67 | Bid=0.19 Ask=0.14 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:09:35,682 | BTC/USDT | Price=119622.86 | RSI=67.05 | EMA=118671.94 | ATR=19109.67 | Bid=1.02 Ask=0.37 | Conf=3 | Signal=📉 СИГНАЛ: ПРОДАВАТЬ
2025-07-22 22:10:35,684 | BTC/USDT | Price=119565.78 | RSI=62.33 | EMA=118666.50 | ATR=19109.67 | Bid=0.15 Ask=0.22 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:11:35,239 | BTC/USDT | Price=119545.55 | RSI=60.59 | EMA=118664.57 | ATR=19109.67 | Bid=0.20 Ask=0.20 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:12:35,183 | BTC/USDT | Price=119541.41 | RSI=59.73 | EMA=118664.29 | ATR=19109.67 | Bid=0.21 Ask=0.20 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:13:35,222 | BTC/USDT | Price=119560.69 | RSI=60.90 | EMA=118666.01 | ATR=19109.67 | Bid=0.20 Ask=0.13 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:14:35,208 | BTC/USDT | Price=119691.17 | RSI=67.52 | EMA=118678.44 | ATR=19109.67 | Bid=0.23 Ask=0.20 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:15:34,727 | BTC/USDT | Price=119660.00 | RSI=64.80 | EMA=118675.47 | ATR=19109.67 | Bid=0.24 Ask=0.22 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:16:35,288 | BTC/USDT | Price=119649.96 | RSI=63.80 | EMA=118674.52 | ATR=19109.67 | Bid=0.19 Ask=0.21 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:17:35,730 | BTC/USDT | Price=119655.00 | RSI=64.07 | EMA=118675.00 | ATR=19109.67 | Bid=0.22 Ask=0.15 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:18:34,227 | BTC/USDT | Price=119648.00 | RSI=63.31 | EMA=118674.33 | ATR=19109.67 | Bid=0.19 Ask=0.18 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:19:35,194 | BTC/USDT | Price=119541.44 | RSI=53.20 | EMA=118664.18 | ATR=19109.67 | Bid=0.23 Ask=0.16 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:20:35,262 | BTC/USDT | Price=119547.40 | RSI=53.83 | EMA=118664.75 | ATR=19109.67 | Bid=0.29 Ask=0.19 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:21:34,726 | BTC/USDT | Price=119611.87 | RSI=58.40 | EMA=118670.89 | ATR=19109.67 | Bid=0.07 Ask=0.34 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:22:34,698 | BTC/USDT | Price=119635.77 | RSI=59.95 | EMA=118673.16 | ATR=19109.67 | Bid=0.22 Ask=0.22 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:23:34,789 | BTC/USDT | Price=119657.95 | RSI=61.41 | EMA=118675.28 | ATR=19109.67 | Bid=0.19 Ask=0.20 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:24:35,246 | BTC/USDT | Price=119661.89 | RSI=61.83 | EMA=118676.41 | ATR=19109.67 | Bid=0.14 Ask=0.15 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:25:35,309 | BTC/USDT | Price=119672.88 | RSI=62.53 | EMA=118676.70 | ATR=19109.67 | Bid=0.60 Ask=0.21 | Conf=3 | Signal=📉 СИГНАЛ: ПРОДАВАТЬ
2025-07-22 22:26:34,722 | BTC/USDT | Price=119731.54 | RSI=66.57 | EMA=118682.29 | ATR=19113.55 | Bid=0.46 Ask=0.19 | Conf=3 | Signal=📉 СИГНАЛ: ПРОДАВАТЬ
2025-07-22 22:27:34,720 | BTC/USDT | Price=119766.72 | RSI=68.67 | EMA=118685.64 | ATR=19113.96 | Bid=0.21 Ask=0.17 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:28:35,690 | BTC/USDT | Price=119798.48 | RSI=70.57 | EMA=118688.66 | ATR=19116.00 | Bid=0.17 Ask=0.21 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:29:35,669 | BTC/USDT | Price=119799.99 | RSI=70.80 | EMA=118688.80 | ATR=19116.64 | Bid=0.21 Ask=0.19 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:30:34,718 | BTC/USDT | Price=119800.34 | RSI=71.11 | EMA=118688.84 | ATR=19116.66 | Bid=0.14 Ask=0.18 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:31:35,187 | BTC/USDT | Price=119810.41 | RSI=70.90 | EMA=118689.80 | ATR=19116.74 | Bid=0.23 Ask=0.17 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:32:34,709 | BTC/USDT | Price=119820.00 | RSI=71.47 | EMA=118690.71 | ATR=19117.53 | Bid=0.18 Ask=0.21 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:33:35,201 | BTC/USDT | Price=119820.01 | RSI=70.73 | EMA=118690.71 | ATR=19119.11 | Bid=0.21 Ask=0.23 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:34:34,705 | BTC/USDT | Price=119799.73 | RSI=67.36 | EMA=118688.78 | ATR=19119.11 | Bid=0.20 Ask=0.19 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:35:35,167 | BTC/USDT | Price=119648.81 | RSI=48.89 | EMA=118674.41 | ATR=19119.11 | Bid=0.62 Ask=0.21 | Conf=3 | Signal=❕ Нет условий для входа
2025-07-22 22:35:37,216 | BTC/USDT | Price=119648.81 | RSI=48.89 | EMA=118674.41 | ATR=19119.11 | Bid=0.62 Ask=0.18 | Conf=3 | Signal=❕ Нет условий для входа
2025-07-22 22:36:34,236 | BTC/USDT | Price=119639.96 | RSI=48.21 | EMA=118673.56 | ATR=19119.11 | Bid=0.18 Ask=0.21 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 22:36:35,809 | BTC/USDT | Price=119639.96 | RSI=48.21 | EMA=118673.56 | ATR=19119.11 | Bid=0.48 Ask=0.21 | Conf=3 | Signal=❕ Нет условий для входа
2025-07-22 22:37:35,681 | BTC/USDT | Price=119695.28 | RSI=53.58 | EMA=118678.83 | ATR=19119.11 | Bid=0.14 Ask=0.18 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:40:10,279 | BTC/USDT | Price=119690.01 | RSI=52.45 | EMA=118678.33 | ATR=19119.11 | Bid=0.17 Ask=0.74 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:41:08,030 | BTC/USDT | Price=119680.00 | RSI=51.25 | EMA=118677.38 | ATR=19119.11 | Bid=0.15 Ask=0.19 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:42:07,087 | BTC/USDT | Price=119685.40 | RSI=52.00 | EMA=118677.89 | ATR=19119.11 | Bid=0.21 Ask=0.18 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:43:07,155 | BTC/USDT | Price=119705.94 | RSI=54.52 | EMA=118679.85 | ATR=19119.11 | Bid=0.21 Ask=0.20 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:43:16,909 | BTC/USDT | Price=119705.30 | RSI=54.43 | EMA=118679.85 | ATR=19119.11 | Bid=0.22 Ask=0.16 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:44:07,567 | BTC/USDT | Price=119705.31 | RSI=54.49 | EMA=118679.79 | ATR=19119.11 | Bid=0.24 Ask=0.20 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:45:07,061 | BTC/USDT | Price=119660.00 | RSI=48.54 | EMA=118675.47 | ATR=19119.11 | Bid=0.20 Ask=0.19 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 22:45:08,701 | BTC/USDT | Price=119660.00 | RSI=48.54 | EMA=118675.47 | ATR=19119.11 | Bid=0.19 Ask=0.19 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 22:46:07,133 | BTC/USDT | Price=119665.00 | RSI=49.18 | EMA=118675.95 | ATR=19119.11 | Bid=0.21 Ask=0.23 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-22 22:53:54,966 | BTC/USDT | Price=119752.80 | RSI=55.52 | EMA=118716.30 | ATR=2485.94 | Bid=0.51 Ask=994.10 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:54:51,132 | BTC/USDT | Price=119800.00 | RSI=59.86 | EMA=118720.79 | ATR=2485.94 | Bid=1.29 Ask=987.09 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:55:51,154 | BTC/USDT | Price=119799.90 | RSI=59.62 | EMA=118720.78 | ATR=2485.94 | Bid=0.19 Ask=0.95 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:56:50,742 | BTC/USDT | Price=119792.90 | RSI=58.20 | EMA=118720.12 | ATR=2485.94 | Bid=2.91 Ask=6.02 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-22 22:57:50,667 | BTC/USDT | Price=119792.90 | RSI=58.20 | EMA=118720.12 | ATR=2485.94 | Bid=0.53 Ask=3.20 | Conf=2 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-23 04:31:15,991 | BTC/USDT | Price=119339.80 | RSI=52.42 | EMA=119108.68 | ATR=1299.16 | Bid=1.54 Ask=0.60 | Conf=3 | Signal=📈 СЛАБЫЙ СИГНАЛ: тренд вверх (EMA)
2025-07-23 04:32:11,778 | BTC/USDT | Price=119314.20 | RSI=48.81 | EMA=119106.24 | ATR=1299.16 | Bid=2.47 Ask=0.62 | Conf=3 | Signal=❕ Нет условий для входа
2025-07-23 04:32:13,849 | BTC/USDT | Price=119314.20 | RSI=48.81 | EMA=119106.24 | ATR=1299.16 | Bid=1.39 Ask=0.61 | Conf=3 | Signal=❕ Нет условий для входа
2025-07-23 04:33:12,239 | BTC/USDT | Price=119314.20 | RSI=48.81 | EMA=119106.24 | ATR=1299.16 | Bid=0.42 Ask=4.52 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-23 04:33:13,318 | BTC/USDT | Price=119314.20 | RSI=48.81 | EMA=119106.24 | ATR=1299.16 | Bid=0.42 Ask=4.52 | Conf=2 | Signal=❕ Нет условий для входа
2025-07-23 04:34:11,777 | BTC/USDT | Price=119314.90 | RSI=49.08 | EMA=119106.31 | ATR=1299.16 | Bid=1.91 Ask=0.69 | Conf=3 | Signal=❕ Нет условий для входа
